---
0001
0011	DE-1a	SBB-PK Berlin
0014
0015
0016
0019
0020	DE-84	Universitätsbibliothek Braunschweig
0021	DE-46	Staats- und  Universitätsbibliothek Bremen
0022	DE-18	Staats- und Universitätsbibliothek Carl von Ossietzky , Hamburg
0023	DE-830	TUB Hamburg-Harburg
0024	DE-8	UB Kiel
0026	DE-206	ZBW - Leibniz-Informationszentrum Wirtschaft, Standort Kiel 
0030	DE-104	UB Clausthal
0031	DE-27	Thüringer Universitäts- und Landesbibliothek (ThULB) Jena
0032	DE-Ilm1	UB Ilmenau
0033
0034	DE-1373	Hafen City Universität, Hamburg
0039	DE-547	Universitätsbibliothek Erfurt / Forschungsbibliothek Gotha, Universitätsbibliothek Erfurt 
0040	DE-7	Niedersächsische Staats- und Universitätsbibliothek Göttingen und Universität Göttingen
0047	DE-Lin1b	Max-Planck-Institut für Sonnensystemforschung, Bibliothek , Göttingen
0048	DE-Goe134	Max-Planck-Institut für Multidisziplinäre Naturforschung, Karl-Thomas-Bibliothek, Göttingen
0049	DE-Goe164	Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften, Bibliothek, Göttingen
0050	DE-23	Herzog August Bibliothek (HAB) , Wolfenbüttel
0055	DE-Goe116	Otto-Hahn-Bibliothek des Max-Planck-Instituts für  Multidisziplinäre Naturforschung, Göttingen
0060	DE-705	Helmut-Schmidt-Universität, Universität der Bundeswehr Hamburg, Universitätsbibliothek  (HSU), Hamburg
0061	DE-32	Herzogin Anna Amalia Bibliothek / Klassik Stiftung Weimar (HAAB), Weimer
0062	DE-28	UB Rostock
0063	DE-Wim2	UB Weimar
0064
0065	DE-3	Universitäts- und Landesbibliothek Sachsen-Anhalt / Zentralex, ULB Halle
0066	DE-Ha125	Burg Giebichenstein Kunsthochschule Halle, Hochschulbibliothek 
0069	DE-9	UB Greifswald
0070	DE-89	Technische Informationsbibliothek (TIB) / Leibniz-Informationszentrum Technik und Naturwissenschaften und Universitätsbibliothek 
0072	DE-35	Gottfried Wilhelm Leibniz Bibliothek - Niedersächsische Landesbibliothek (GWLB) Hannover
0073	DE-95	Stiftung Tierärztliche Hochschule Hannover, Bibliothek (TiHo) Hannover
0074	DE-354	Medizinische Hochschule Hannover, Bibliothek (MHH) Hannover
0077	DE-Hv14	Nds. Landtag, Hannover
0078	DE-115	StB Hannover
0090	DE-Hil2	UB Hildesheim
0091	DE-Hil3	HAWK HS für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen, Bibliothek, Elektronische Ressourcen 
0092	DE-33	Landesbibliothek Mecklenburg-Vorpommern (LBMV), Schwerin
0095	DE-542	HS Merseburg
0096	DE-H358	Gerichtsbibliothek Lübeckertordamm
0098	DE-Wim8	Hochschule für Musik Franz Liszt, Hochschulbibliothek, Weimar  
0099
0100	DE-Ma9	Otto-von-Guericke-Universität, Universitätsbibliothek Magdeburg
0101	DE-Ma14	Otto-von-Guericke-Universität, Universitätsbibliothek, Medizinische Zentralbibliothek (MZB), Magdeburg
0104	DE-68	Schleswig-Holsteinische Landesbibliothek (LB) Kiel
0105	DE-572	Zentrale Hochschulbibliothek (ZHSB) Lübeck
0110	DE-Luen4	Leuphana Universität Lüneburg, Medien- und Informationszentrum, Universitätsbibliothek Lüneburg
0111	DE-963	Hochschule 21, Buxtehude
0113	DE-2089	Staatsarchiv Hamburg
0114	DE-18-301	Akademie der Polizei, Hamburg
0118	DE-Kt1	Hochschule Anhalt , Hochschulbibliothek (HSB)  Anhalt
0119	DE-Ef28	Thüringer Ministerium für Bildung, Wissenschaft und Kultur, Bibliothek, Erfurt 
0120	DE-715	Bibliotheks-und Informationssystem der Carl von Ossietzky Universität Oldenburg (BIS) 
0121	DE-45	Landesbibliothek (LB) Oldenburg
0122	DE-897	Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth, Studienort Oldenburg, Bibliothek 
0123	DE-Ha33	Franckesche Stiftungen, Studienzentrum August Hermann Francke, Archiv und Bibliothek
0127	DE-18-258	Hochschule für Musik und Theater, Bibliothek HfMT Hamburg
0129	DE-7-061	Department für Agrarökonomie und Rurale Entwicklung (DARE)
0130	DE-700	Universitätsbibliothek Osnabrück 
0131	DE-Va1	Universitätsbibliothek Vechta 
0132	DE-959	Hochschule Osnabrück, Bibliothek Campus Westerberg 
0134
0135	DE-Ha115	Landesamt für Denkmalpflege und Archäologie - Bibliothek, Halle
0136	DE-Wis1	Hochschule Wismar, University of Applied Sciences: Technology, Business and Design, Hochschulbibliothek 
0138	DE-564	Hochschule Nordhausen, Hochschulbibliothek  
0139	DE-18-26	Hochschule für Bildende Künste (HfbK), Hamburg, Bibliothek 
0140	DE-839	Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth, Studienort Wilhelmshaven, Bibliothek 
0147	DE-Fl3	Zentrale Hochschulbibliothek Flensburg  
0148	DE-Lue12	Musikhochschule Lübeck, Bibliothek
0150	DE-J59	Ernst-Abbe Hochschschule Jena
0151	DE-546	FH Erfurt
0152	DE-Shm2	FH Schmalkalden
0153	DE-Ha94	MPI für Mikrostrukturphysik, Halle
0154	DE-Bv2	Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung, (AWI), Bibliothek Bremerhaven
0156	DE-204	Ibero-Amerikanisches Institut Preußischer Kulturbesitz, Bibliothek (IAI SPK) Berlin
0160	DE-755	HSB Emden/Leer
0161	DE-960	HS Hannover
0162	DE-Bv3	Deutsches Schifffahrtsmuseum (DSM), Bremerhaven
0163	DE-996	Hochschule für Musik, Theater und Medien Hannover, Bibliothek 
0164	DE-916	Ostfalia Hochschule für angewandte Wissenschaften, Bibliothek, Wolfenbüttel
0165	DE-834	HBK Braunschweig
0168	DE-Bst1	Forschungszentrum Borstel
0170	DE-Bs68	PTB Braunschweig
0171	DE-Ha2	Deutsche Akademie der Naturforscher Leopoldina, Bibliothek, Halle
0172	DE-48	StB Lübeck
0175	DE-M158a	ifo Institut für Wirtschaftsforschung an der Universität München, Bibliothek
0176	DE-Au3	Landschaftsbibliothek, Aurich 
0178
