DE-12;Bayerische Staatsbibliothek München
DE-384;Universitätsbibliothek Augsburg
DE-473;Universitätsbibliothek Bamberg
DE-703;Universitätsbibliothek Bayreuth
DE-824;Universitätsbibliothek Eichstätt - Zentralbibliothek und Teilbibliotheken in Eichstätt
DE-945;Universitätsbibliothek Eichstätt - Wirtschaftswissenschaftliche Zweigbibliothek Ingolstadt
DE-29;Universitätsbibliothek Erlangen-Nürnberg - Hauptbibliothek
DE-29T;29 T;Universitätsbibliothek Erlangen-Nürnberg - Technisch-naturwissenschaftliche Zweigbibliothek Erlangen
DE-N2;Universitätsbibliothek Erlangen-Nürnberg - Wirtschafts- und sozialwissenschaftliche Zweigbibliothek Nürnberg
DE-N32;Universitätsbibliothek Erlangen-Nürnberg - Erziehungswissenschaftliche Zweigbibliothek Nürnberg
DE-19;Universitätsbibliothek der LMU München
DE-M7;Universitätsbibliothek der LMU München - Bayerische Botanische Gesellschaft
DE-M38;Universitätsbibliothek der LMU München - Botanische Staatssammlung München
DE-19;Universitätsbibliothek der LMU München - Lyrik-Kabinett München
DE-91;Technische Universität München, Universitätsbibliothek
DE-91G;Technische Universität München, Universitätsbibliothek, Teilbibliotheken Garching
DE-M49;Technische Universität München, Universitätsbibliothek, Teilbibliothek Weihenstephan
DE-91S;Technische Universität München, Universitätsbibliothek, Teilbibliothek Straubing
DE-706;Universitätsbibliothek der Universität der Bundeswehr München
DE-739;Universitätsbibliothek Passau
DE-355;Universitätsbibliothek Regensburg
DE-20;Universitätsbibliothek Würzburg
DE-634;Brandenburgische Technische Universität Cottbus - Senftenberg, Universitätsbibliothek
DE-521;Universitätsbibliothek EUV Frankfurt (Oder)
DE-188;Freie Universität Berlin, Universitätsbibliothek
DE-11;Universitätsbibliothek der Humboldt-Universität zu Berlin
DE-83;TU Berlin, Universitätsbibliothek
DE-B170;Universität der Künste Berlin, Universitätsbibliothek
DE-1046;Hochschulbibliothek Amberg
DE-1102;Hochschulbibliothek Ansbach
DE-1043;TH-AB - Technische Hochschule Aschaffenburg, Hochschulbibliothek
DE-Aug4;Hochschulbibliothek Augsburg
