agrovoc;AGROVOC multilingual agricultural thesaurus;;Rome: APIMONDIA;;
allmovie;AllMovie;http://www.allmovie.com/;;;
allmusic;AllMusic;http://www.allmusic.com/;;;
allocine;AlloCiné;http://www.allocine.fr/;;fr;
amnbo;American National Biography Online;http://www.anb.org/;;;
ansi;American National Standards Institute and National Information Standards Organisation number for an ANSI or ANSI/NISO standard;;;;
artsy;Artsy;https://www.artsy.net/;;;
bdusc;Biographical Directory of the United States Congress;http://bioguide.congress.gov/;United States Congress;;
bfi;BFI - British Film Institute;http://www.bfi.org.uk/explore-film-tv/films-tv-people;;;
bnfcg;BnF catalogue général;http://catalogue.bnf.fr/index.do;Paris: Bibliothèque nationale de France;fr;
cantic;CANTIC (Catàleg d'autoritats de noms i títols de Catalunya;http://cantic.bnc.cat;Biblioteca de Catalunya;ca;
cgndb;Canadian Geographical Names Database;http://www.nrcan.gc.ca/earth-sciences/geography/place-names/search/9170;Natural Resources Canada;;
danacode;Danacode;;Bnei Brak, Israel: D.A.N.A. Systems;;
datoses;datos.bne.es;http://datos.bne.es/;Biblioteca Nacional de España;es;
discogs;Discogs;http://www.discogs.com;;;
dkfilm;Det Danske Filminstitut Filmdatabasen;http://www.dfi.dk/faktaomfilm/;;;
doi;Digital Object Identifier;;;;
ean;International Article Number;;;;
eidr;EIDR: Entertainment Identifier Registry;http://www.eidr.org/;;;
fast;FAST - Faceted Application of Subject Terminology;http://fast.oclc.org/searchfast/;;;
filmport;filmportal.de;http://www.filmportal.de/;;de;
findagr;Find a Grave;http://www.findagrave.com/index.html;;;
freebase;Freebase;https://www.freebase.com;;;
gec;Gran enciclopèdia catalana;http://www.enciclopedia.cat/obra/enciclopedia/gran-enciclopedia-catalana;;ca;
geogndb;Geographic Names Database;http://www.http://geonamebase.com/;;;
geonames;GeoNames;http://www.geonames.org/;;;
gettytgn;Getty Thesaurus of Geographic Names Online;http://www.getty.edu/research/tools/vocabularies/tgn/index.html;J. Paul Getty Trust;;
gettyulan;Union List of Artist Names Online;http://www.getty.edu/research/tools/vocabularies/ulan/index.html;J. Paul Getty Trust;;
gnd;Gemeinsame Normdatei;http://www.dnb.de/EN/Standardisierung/GND/gnd_node.html;Leipzig: Deutsche Nationalbibliotheke;de;
gnis;Geographic Names Information System (GNIS);http://geonames.usgs.gov/;United States Geological Survey, Board on Geographic Names;;
gtin-14;Global Trade Identification Number 14 (EAN/UCC-128 or ITF-14);http://www.gtin.info/;;;
hdl;Handle;;;;
ibdb;IBDB - Internet Broadway Database;http://www.ibdb.com/;;;
idref;IdRef: le référentiel des autorités Sudoc;http://www.idref.fr/autorites/autorites.html;L'agence bibliographique de l'enseignement supérieur ABES);fr;
imdb;IMDb - Internet Movie Database;http://www.imdb.com/;;;
isan;International Standard Audiovisual Number;;;;
isbn;International Standard Book Number;;;;
isbn-a;International Standard Book Number (the actionable ISBN);http://www.doi.org/factsheets/ISBN-A.html;;;
ismn;International Standard Music Number;;;;
isni;International Standard Name Identifier;http://isni.org;;;
iso;International Organization for Standardization number for an ISO standard;;;;
isbnre;ISBN (International Standard Book Number) registrant element;;;;Refers to the part of the ISBN number that is stable for a publisher's publications (the registrant element).
isil;ISIL (International Standard Identifier for Libraries and Related Organizations);;;;
isrc;International Standard Recording Code;;;;
issn;International Standard Serial Number;;;;
issn-l;Linking International Standard Serial Number;;;;
issue-number;Sound recording issue number;;;;
istc;International Standard Text Code;;;;
iswc;International Standard Musical Work Code;;;;
itar;ITAR (Importtjeneste og autoritetsregistre);http://dbh.nsd.uib.no/kanaler/;;no;
kinipo;КиноПоиск = KinoPoisk;http://www.kinopoisk.ru;;ru;
lccn;Library of Congress Control Number;;;;
lcmd;Library of Congress Manuscript Division;;Washington, DC: Library of Congress;;
libaus;Libraries Australia;https://librariesaustralia.nla.gov.au/;National Library of Australia;;
local;Locally defined identifier;;;;
matrix-number;Sound recording matrix number;;;;
moma;Museum of Modern Art;http://www.moma.org/collection/;New York: Museum of Modern Art);;
munzing;Munzinger;http://www.munzinger.de/search/;Munzinger Archiv;de;
music-plate;Publisher's music plate number;;;;
music-publisher;Publisher-assigned music number;;;;
musicb;MusicBrainz;https://musicbrainz.org/;;;
natgazfid;U.S. National Gazetteer Feature Name Identifier;;;;
nga;National Gallery of Art;http://www.nga.gov/content/ngaweb/Collection.html;Washington DC: National Gallery of Art;;
