041A	00-99	Schlagwortfolgen (DNB und Verbünde)
044A		LoC Subject Headings
044C		Medical Subject Headings (MeSH)
044H		Erschließung von Musikalien nach Besetzung und Form/Gattung
044K	00-09	Schlagwortfolgen (GBV, SWB, K10plus)
044L	00-09	Einzelschlagwörter (Projekte)
044N		Schlagwörter aus einem Thesaurus und freie Schlagwörter
044S		Gattungsbegriffe bei Alten Drucken
044Z	00-99	Lokale Schlagwörter auf bibliografischer Ebene
045A		LCC-Notation
045B	00	Allgemeine Systematik für Bibliotheken (ASB)
045B	01	Systematik der Stadtbibliothek Duisburg (SSD)
045B	02	Systematik für Bibliotheken (SfB)
045B	03	Klassifikation für Allgemeinbibliotheken (KAB)
045B	04	Systematiken der ekz
045B	05	Gattungsbegriffe (DNB)
045C		Klassifikation der National Library of Medicine (NLM)
045D	00-29	STW-Schlagwörter
045D	30-39	STW-Schlagwörter - automatisierte verbale Sacherschließung
045D	40-48	STW-Schlagwörter - Platzhalter
045D	49	ZBW-Schlagwörter - Veröffentlichungsart
045D	50	Vorläufige Schlagwörter (STW)
045D	60	FIV-Schlagwörter (Themen)
045D	70	FIV-Schlagwörter (Aspekte)
045E		Sachgruppen der Deutschen Nationalbibliografie bis 2003
045F		DDC-Notation
045G		Sachgruppen der Deutschen Nationalbibliografie ab 2004
045H	00-99	DDC-Notation: Vollständige Notation
045M	00-99	Lokale Notationen auf bibliografischer Ebene
045N		FIV-Regionalklassifikation
045N	01	FIV-Sachklassifikation
045N	02	Sonstige Notation des FIV
045Q	01	Basisklassifikation
045R		Regensburger Verbundklassifikation (RVK)
045S		Deutsche Bibliotheksstatistik (DBS)
045T		Nicht mehr gültige Notationen der Regensburger Verbundklassifikation (RVK)
045V		SSG-Nummer/FID-Kennzeichen
045W		SSG-Angabe für thematische OLC-Ausschnitte
045X		Notation eines Klassifikationssystems
045Y		SSG-Angabe für Fachkataloge
