pica_p	pica_p_uf	marc21
003@	$0	001003 DE-627035 $a(DE-627)
003S	$0	001003 DE-576035 $a(DE-576)
001A	$0	008 Pos. 00-05 (nur Datum)
001B	$t	005
001B	$0	005 (nur Datum)
002@	$0	006007008264935 $s951 $a
002C	$2	007336 $2
002C	$3	007336 $3
002C	$X	007336 $8
002C	$b	007336 $b
002C	$a	007336 $a
002D	$2	007337 $2
002D	$3	007337 $3
002D	$X	007337 $8
002D	$b	007008337 $b
002D	$a	007337 $a
002E	$2	007338 $2
002E	$3	007338 $3
002E	$X	007338 $8
002E	$b	006007008338 $b
002E	$a	007338 $a
016B	$a	935 $a
011@	$b	008 Pos. 11-14264 $c
011@	$n	264 $c
011@	$r	008 Pos. 11-14534 $c
011@	$a	008 Pos. 7-10264 $c
016A	$0	007
016E	$0	007
011F	$n	264 $c
011F	$o	264 $c
013G	$9	655 $0(DE-627)
013G	$7	655 $0(DE-588)
013G	$a	007655 $a
013D	$9	655 $0(DE-627)
013D	$2	655 $2gnd-content
013D	$7	655 $0(DE-588)
013D	$x	655 $x
013D	$y	655 $y
013D	$z	655 $z
013D	$a	006007008655 $a
013E	$9	348 $0(DE-627)
013E	$2	348 $2gnd-music
013E	$7	348 $0(DE-588)
013E	$a	348 $a
013F	$9	385 $0(DE-627)
013F	$2	385 $2
013F	$7	385 $0(DE-588)
013F	$a	385 $a
013H	$a	006007008090935 $c
010@	$a	008041 $a
010@	$c	041 $h
010E	$e	040 $e
010E	$b	040 $b
019@	$a	044 $c
018@	$a	006008 Pos. 18
004A	$f	020 $c
004A	$0	020 $a (ohne Bindestriche) $9
004P	$0	776 $z
005I	$f	222 $a
005I	$0	022 $a
004J	$0	776 $z
004K	$0	776 $oISBN(falsch)
004D	$f	020 $c
004D	$0	020 $a (ohne Bindestriche) $9
005A	$f	365 $b
005A	$0	022 $a
005P	$0	776 $x
005B	$0	022 $y
004F	$f	024 $c
004F	$0	024 $a (ohne Bindestriche)
004M	$0	027 $a
004I	$f	024 $c
004I	$0	024 $z (ohne Bindestriche)
006B	$0	016 $a $2UK
006A	$0	010 $a
004U	$0	024 $a $2urn856 $u $2urn
004V	$0	024 $a $2doi
004R	$0	024 $a $2hdl856 $u $2hdl
004W	$0	024 $a $2doi
006G	$0	016 $a $2DE-101
003O	$0	035 $a(OCoLC)
003T	$0	035 $a(OCoLC)
006T	$0	015 $a $2dnb
006U	$0	015 $a $2dnb
006Z	$0	016 $a $2DE-600
006S	$0	889 $w(DE-576)
006L	$0	035 $a
003D	$0	889 $w(DE-627)
007Y	$i	013 $a $c024 $q
007Y	$0	024 $a $z $2032 $a088 $a
007C	$0	030 $a
004L	$0	024 $a
004C	$0	024 $a
007D	$b	028 $b
007D	$f	028 $q
007D	$i	028
007D	$0	028 $a
007G	$i	035 $a(DE-599)Idn
007G	$0	035 $a(DE-599)Idn
029A	$9	110 $0(DE-627)111 $0(DE-627)
029A	$4	110 $4111 $4
029A	$7	110 $0(DE-588)111 $0(DE-588)
029A	$B	110 $e111 $j
029A	$T	880 $6
029A	$U	880 $6
029A	$b	110 $b111 $e710 $b
029A	$c	110 $c111 $c710 $c
029A	$d	110 $d111 $d710 $d
029A	$g	110 $g111 $g710 $g
029A	$n	110 $n111 $n710 $n
029A	$x	110 $g111 $g710 $g
029A	$a	110 $a111 $a710 $a
029G	$9	710 $0(DE-627)711 $0(DE-627)
029G	$4	710 $4711 $4
029G	$7	710 $0(DE-588)711 $0(DE-588)
029G	$B	710 $e711 $j
029G	$T	880 $6
029G	$U	880 $6
029G	$b	710 $b711 $e
029G	$c	711 $c
029G	$d	711 $d
029G	$g	710 $g711 $g
029G	$n	711 $n
029G	$a	710 $a711 $a
022A/00	$9	130 $0(DE-627)240 $0(DE-627)
022A/00	$7	130 $0(DE-588)240 $0(DE-588)
022A/00	$T	880 $6
022A/00	$U	880 $6
022A/00	$f	130 $f240 $f
022A/00	$g	130 $g240 $g
022A/00	$h	130 $o240 $o
022A/00	$k	130 $k240 $k
022A/00	$m	130 $m240 $m
022A/00	$n	130 $n240 $n
022A/00	$o	130 $o240 $o
